"","year_vcs","first_vcs","first_vcs_other","first_bazaar","first_cvs","first_git","first_hg","first_monotone","first_svn","first_other","first_other_text","use_bitbucket","use_github","use_gitlab","use_sourceforge","use_selfhost","use_nothing","use_other_platform","use_selfhost_text","use_other_platform_text","why_no_platform","freq_git","freq_git_text","freq_platform","freq_platform_text","use_local_gui","use_local_term","use_local_other","use_local_other_text","why_vcs","why_vcs_text","how_learn_books","how_learn_credit_course","how_learn_online_course","how_learn_rtfm","how_learn_accel","how_learn_webinar","how_learn_workshop","how_learn_other","how_learn_other_text","who_taught_git","when_learn_git","when_learn_git_other","local_ease","ghp_ease","proficiency","freq_reteach","freq_reteach_text","fave_resource","have_taught","make_materials","regularly_teach","teach_inperson","teach_vasync","teach_vsync","improve_teaching","why_ghps","why_ghps_other_text","ghp_as_backup","use_ci","use_annotation","use_fork_pr","use_issues","use_pages","use_boards","use_wikis","use_other_feat","use_other_feat_text","how_use_ci","private_fund","public_fund","dontknow_fund","no_funds","other_fund","other_fund_text","fund_open","scholexp_collab","scholexp_edu","scholexp_method","scholexp_peerprod","scholexp_peer_review","scholexp_pub","scholexp_qa","scholexp_repro","scholexp_other","scholexp_other_text","author_collab","freq_author_collab","freq_author_collab_text","onboarding","how_doc","aca_platform","copy_longterm","archive_figshare","archive_ir","archive_osf","archive_sh","archive_zenodo","archive_other","archive_other_text","disc","disc_other_text","status","status_other_text","length_role","institution","institution_other_text"
"203","2019","Git","-99",0,0,1,0,0,0,0,"-99",0,1,0,0,0,0,0,"-99","-99","","Weekly","-99","Weekly","-99",1,1,0,"-99","My collaborators use it.","-99",0,0,0,0,0,0,1,1,"Co-worker","Co-worker. Their role was infrastructure engineer.","After entering postsecondary education","-99","3","3","2","Once a semester","-99","-99","No","","",NA,NA,NA,"","Publishing (e.g. making content available online)","-99","Yes",1,1,1,0,0,0,0,0,"-99","testing and deploy",0,0,0,1,0,"-99","",0,0,0,0,0,0,0,0,1,"not sure","No","","","","-99","Maybe","No",NA,NA,NA,NA,NA,NA,"","Library Science","-99","Staff","-99","0-3 years","Public University","-99"
"204","2013","Git","-99",0,0,1,0,0,0,0,"-99",0,1,1,0,0,0,0,"-99","-99","","Daily","-99","Daily","-99",0,1,0,"-99","My collaborators use it.","-99",1,0,0,0,0,0,0,0,"-99","-99","After entering postsecondary education","-99","4","3","3","Never","-99","happygitwithr.com","Yes","I mix original and secondary materials","No",1,0,0,"-99","Openness (e.g. sharing data and code for open access)","-99","Yes",1,0,1,1,1,0,0,0,"-99","Checking R package dependencies. Automated building of reports.",0,1,0,0,0,"-99","",1,1,0,0,1,0,0,1,0,"-99","Yes","Once a year","-99","No","-99","Maybe","Yes",0,0,0,0,1,0,"-99","Aquatic Biology-Limnology ","-99","Doctoral student","-99","4-7 years","Public University","-99"
"205","2017","Git","-99",0,0,1,0,0,0,0,"-99",0,1,0,0,0,0,0,"-99","-99","","Weekly","-99","Weekly","-99",0,1,1,"through RStudio","Other:","Good practice for reproducible research",1,0,0,0,0,0,0,0,"-99","happygitwithr.com was very helpful","After entering postsecondary education","-99","4","3","3","Weekly","-99","happygitwithr.com","No","","",NA,NA,NA,"","Publishing (e.g. making content available online)","-99","Yes",1,1,1,1,1,0,0,0,"-99","I've used Travis CI and Appveyor for testing R packages on different platforms and software versions.",0,1,0,1,0,"-99","",0,1,0,0,0,0,1,1,0,"-99","No","","","","haphazardly.  Analysis documented in R Markdown, but field notes in various places.","Maybe","Yes",0,0,0,0,1,0,"-99","Ecology & Evolutionary Biology ","-99","Doctoral student","-99","4-7 years","Private University","-99"
"206","2017","Git","-99",0,0,1,0,0,0,0,"-99",0,1,0,0,0,0,0,"-99","-99","","Monthly","-99","Monthly","-99",0,1,0,"-99","My collaborators use it.","-99",0,0,0,1,0,0,0,0,"-99","-99","After entering postsecondary education","-99","4","3","3","Once a year","-99","-99","Yes","I make them myself","No",1,0,0,"Visual aids (eg posters) that communicate 1 or 2 concepts at a time","Method tracking (e.g. documenting methodologies and protocols)","-99","Yes",0,0,0,0,1,0,0,0,"-99","",0,0,0,1,0,"-99","",0,1,0,0,0,0,0,0,0,"-99","No","","","","-99","No","No",NA,NA,NA,NA,NA,NA,"","Education","-99","Staff","-99","0-3 years","Private University","-99"
"207","2012","Git","-99",0,0,1,0,0,0,0,"-99",0,1,0,0,0,0,0,"-99","-99","","Daily","-99","Weekly","-99",0,1,0,"-99","I need a version control system.","-99",0,0,1,0,0,0,0,0,"-99","-99","Before entering postsecondary education","-99","2","1","4","Never","-99","-99","Yes","I mix original and secondary materials","No",1,0,0,"-99","Openness (e.g. sharing data and code for open access)","-99","Yes",0,0,0,1,1,1,1,0,"-99","",1,1,0,0,0,"-99","Yes",0,1,1,0,1,1,1,0,0,"-99","Yes","Monthly","-99","No","-99","Maybe","Yes",0,1,0,0,0,0,"-99","Neuropharmacology ","-99","Staff","-99","4-7 years","Private University","-99"
"208","2018","Git","-99",0,0,1,0,0,0,0,"-99",0,1,0,0,0,0,0,"-99","-99","","Weekly","-99","Weekly","-99",0,0,1,"RStudio","My collaborators use it.","-99",1,0,0,1,0,1,1,0,"-99","First learned at a Women in Tech (PDXWIT) lunchtime workshop","After entering postsecondary education","-99","4","3","2","Weekly","-99","https://happygitwithr.com/","Yes","I mix original and secondary materials","No",1,0,0,"visuals; having a helper who can answer questions (unlike me)","Other:","version control, but also as a portfolio/easy way to have a web presence","Yes",0,0,1,1,0,1,0,0,"-99","",0,1,0,0,0,"-99","",1,1,0,0,0,0,0,1,0,"-99","No","","","","Just me, although I'm trying to teach/convince others in my group to use it","Yes","No",NA,NA,NA,NA,NA,NA,"","Biomedical Sciences","-99","Staff","-99","4-7 years","Public University","-99"
"209","2002","CVS","-99",0,0,1,0,0,0,0,"-99",0,1,0,1,0,0,0,"-99","-99","","Daily","-99","Daily","-99",0,1,0,"-99","My collaborators use it.","-99",0,1,0,0,0,0,0,0,"-99","-99","After entering postsecondary education","-99","2","2","3","Never","-99","-99","Yes","I make them myself","No",1,1,1,"-99","Openness (e.g. sharing data and code for open access)","-99","Yes",1,1,1,1,1,1,1,0,"-99","Automated testing in a predictable, isolated environment.",0,1,0,0,0,"-99","",0,1,0,0,0,0,0,0,0,"-99","Yes","Monthly","-99","No","-99","No","Yes",0,0,0,0,0,1,"Hah, I don't ""archive"" my git repos.","Computer Science","-99","Tenure track faculty","-99","0-3 years","Private University","-99"
"210","2013","Git","-99",0,0,1,0,0,0,0,"-99",0,1,0,0,0,0,0,"-99","-99","","Weekly","-99","Weekly","-99",0,1,0,"-99","Other:","Learned during a graduate fellowship as part of project work.",0,0,0,0,0,0,0,1,"Direct mentorship and then daily use","Several developers in our library organization, where I was a graduate fellow. ","After entering postsecondary education","-99","3","2","4","Never","-99","I typically read the git reference manual directly; for versions of git like magit in emacs, I do look up it's specific docs and tutorials","Yes","I mix original and secondary materials","No",1,0,0,"Visual diagrams, second person helping, cheatsheet","Version Control","-99","Yes",1,1,1,1,1,0,1,0,"-99","Used CI to run full test suite and standardize code formatting on collaborative projects to ensure quality",0,0,0,1,0,"-99","",1,1,0,0,1,1,0,1,0,"-99","Yes","Other:","Currently only rarely, but in my previous academic positions, daily","No","My current library unit is less technical, so I'm mostly documenting work in readme files for myself and for them if they were to read it.","Maybe","No",NA,NA,NA,NA,NA,NA,"","Library Science","-99","Continuing-contract/clinical/teaching faculty","-99","0-3 years","Public University","-99"
"211","2016","Git","-99",0,0,1,0,0,0,0,"-99",0,1,1,0,0,0,0,"-99","-99","","Daily","-99","Daily","-99",0,1,0,"-99","I need a version control system.","-99",1,0,0,1,0,0,0,0,"-99","-99","After entering postsecondary education","-99","3","1","3","Never","-99","-99","Yes","I make them myself","No",1,0,0,"-99","Collaboration (e.g. editing and updating data/code within a team)","-99","Yes",0,0,1,1,1,0,0,0,"-99","",0,1,0,0,0,"-99","",1,0,0,0,0,1,0,1,0,"-99","Yes","Weekly","-99","Yes","-99","Maybe","No",NA,NA,NA,NA,NA,NA,"","Neuroscience ","-99","Postdoc","-99","0-3 years","Other:","Federal Agency"
"212","2017","Git","-99",0,0,1,0,0,0,0,"-99",0,1,0,0,0,0,0,"-99","-99","","Daily","-99","Daily","-99",0,1,0,"-99","I heard it would get me a job in the future.","-99",1,1,1,0,0,1,0,0,"-99","An instructor in a graduate course in data curation.","After entering postsecondary education","-99","4","4","2","Weekly","-99","Google searches","No","","",NA,NA,NA,"","Collaboration (e.g. editing and updating data/code within a team)","-99","Yes",0,1,0,1,1,0,0,0,"-99","",0,1,0,0,0,"-99","",1,1,0,0,0,0,0,1,0,"-99","Yes","Monthly","-99","No","-99","Yes","No",NA,NA,NA,NA,NA,NA,"","Library Science","-99","Other","Librarian","0-3 years","Public University","-99"
"213","2018","Git","-99",0,0,1,0,0,0,0,"-99",0,1,0,0,0,0,0,"-99","-99","","Monthly","-99","Monthly","-99",1,0,0,"-99","My collaborators use it.","-99",0,0,0,0,0,0,1,0,"-99","Workshop provider -yes","After entering postsecondary education","-99","4","3","3","Never","-99","-99","No","","",NA,NA,NA,"","Publishing (e.g. making content available online)","-99","No",1,0,1,0,1,0,0,0,"-99","I recognize it is useful for co-editing",0,0,0,1,0,"-99","",0,1,0,0,0,1,0,1,0,"-99","No","","","","Via Git-managed resources","Yes","Yes",0,0,1,0,0,0,"-99","Psychology ","-99","Tenure track faculty","-99","0-3 years","Public University","-99"
